rank,name,score,min_spacing_mm,center_radius_mm,width_centers_mm,height_centers_mm,recommended_unit_width_mm,worst_max_sidelobe_db,worst_p99_sidelobe_db
14,sunflower_r43.894_rot248.847,-8.538388,19.589941,42.060328,74.215526,74.380298,94.380298,-5.208966,-9.512634
15,sunflower_r50.082_rot236.247,-8.482884,22.351793,47.990128,84.314924,85.635888,105.635888,-5.277591,-9.157981
16,blue_noise_113,-8.375215,18.439295,54.261254,92.405059,82.596565,112.405059,-5.022458,-9.579306
17,blue_noise_071,-8.242949,18.861961,48.244186,75.330580,86.783060,106.783060,-4.886717,-9.589233
18,blue_noise_022,-8.220563,17.308709,53.289180,84.363479,83.982779,104.363479,-4.913553,-9.448598
19,blue_noise_059,-8.200391,17.226095,41.973057,70.606742,75.365555,95.365555,-4.894860,-9.444372
20,blue_noise_090,-8.146992,17.238318,47.970439,85.879300,72.312275,105.879300,-4.794368,-9.578927
21,blue_noise_166,-8.129280,17.591798,51.786308,97.845282,78.344142,117.845282,-4.838658,-9.401776
22,blue_noise_149,-8.111198,18.502780,50.977284,95.057370,82.477818,115.057370,-4.814194,-9.420012
23,blue_noise_097,-8.065775,17.528051,48.400517,85.780200,81.749504,105.780200,-4.778271,-9.392870
24,blue_noise_170,-8.035133,17.945142,50.236173,79.458658,86.164833,106.164833,-4.782815,-9.292338
25,blue_noise_122,-8.031740,18.724090,48.840130,78.811156,70.514160,98.811156,-4.700345,-9.518270
26,blue_noise_135,-8.019873,17.580192,51.363296,91.644373,86.522084,111.644373,-4.721569,-9.423726
27,blue_noise_011,-7.995493,17.249341,46.573966,81.767455,69.573077,101.767455,-4.768982,-9.218603
28,blue_noise_134,-7.979631,18.448124,53.088567,95.488997,83.200404,115.488997,-4.737922,-9.262026
29,blue_noise_029,-7.970437,18.052056,49.147350,73.182675,91.765555,111.765555,-4.764457,-9.159943
