case,distance_mm,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,rho_mm,amplitude,phase_deg
R400_x-15,400,-15.0,0.0,E07,12.160,-15.250,19.505,0.716766,335.586
R400_x-15,400,-15.0,0.0,E08,37.000,0.000,37.000,0.409582,19.621
R400_x-15,400,-15.0,0.0,E09,28.340,23.780,36.995,0.523949,111.434
R400_x-15,400,-15.0,0.0,E10,6.420,36.440,37.001,0.651204,345.983
R400_x-15,400,-15.0,0.0,E11,-18.500,32.040,36.997,0.819508,256.684
R400_x-15,400,-15.0,0.0,E12,-34.770,12.650,37.000,0.868186,75.801
R400_x-15,400,-15.0,0.0,E13,-34.770,-12.650,37.000,0.868186,75.801
R400_x-15,400,-15.0,0.0,E14,-18.500,-32.040,36.997,0.819508,256.684
R400_x-15,400,-15.0,0.0,E15,6.420,-36.440,37.001,0.651204,345.983
R400_x-15,400,-15.0,0.0,E16,28.340,-23.780,36.995,0.523949,111.434
R400_x-15,400,-15.0,0.0,E17,58.000,0.000,58.000,0.432583,58.740
R400_x-15,400,-15.0,0.0,E18,52.990,23.590,58.004,0.523334,110.793
R400_x-15,400,-15.0,0.0,E19,38.810,43.100,57.999,0.410817,259.057
R400_x-15,400,-15.0,0.0,E20,17.920,55.160,57.998,0.575949,119.772
R400_x-15,400,-15.0,0.0,E21,-6.060,57.680,57.997,0.607874,16.686
R400_x-15,400,-15.0,0.0,E22,-29.000,50.230,58.000,0.724320,266.145
R400_x-15,400,-15.0,0.0,E23,-46.920,34.090,57.997,0.897208,103.683
R400_x-15,400,-15.0,0.0,E24,-56.730,12.060,57.998,1.000000,212.813
R400_x-15,400,-15.0,0.0,E25,-56.730,-12.060,57.998,1.000000,212.813
R400_x-15,400,-15.0,0.0,E26,-46.920,-34.090,57.997,0.897208,103.683
R400_x-15,400,-15.0,0.0,E27,-29.000,-50.230,58.000,0.724320,266.145
R400_x-15,400,-15.0,0.0,E28,-6.060,-57.680,57.997,0.607874,16.686
R400_x-15,400,-15.0,0.0,E29,17.920,-55.160,57.998,0.575949,119.772
R400_x-15,400,-15.0,0.0,E30,38.810,-43.100,57.999,0.410817,259.057
R400_x-15,400,-15.0,0.0,E31,52.990,-23.590,58.004,0.523334,110.793
R400_x15,400,15.0,0.0,E00,0.000,0.000,0.000,0.668067,126.997
R400_x15,400,15.0,0.0,E01,19.500,0.000,19.500,0.820925,320.036
R400_x15,400,15.0,0.0,E02,12.160,15.250,19.505,0.833672,239.539
R400_x15,400,15.0,0.0,E03,-4.340,19.010,19.499,0.726280,60.020
R400_x15,400,15.0,0.0,E04,-17.570,8.460,19.501,0.698163,277.435
R400_x15,400,15.0,0.0,E05,-17.570,-8.460,19.501,0.698163,277.435
R400_x15,400,15.0,0.0,E06,-4.340,-19.010,19.499,0.726280,60.020
R400_x15,400,15.0,0.0,E07,12.160,-15.250,19.505,0.833672,239.539
R400_x15,400,15.0,0.0,E08,37.000,0.000,37.000,0.812256,100.503
R400_x15,400,15.0,0.0,E09,28.340,23.780,36.995,0.851268,4.796
R400_x15,400,15.0,0.0,E10,6.420,36.440,37.001,0.707283,124.909
R400_x15,400,15.0,0.0,E11,-18.500,32.040,36.997,0.658476,216.327
R400_x15,400,15.0,0.0,E12,-34.770,12.650,37.000,0.479642,43.213
R400_x15,400,15.0,0.0,E13,-34.770,-12.650,37.000,0.479642,43.213
R400_x15,400,15.0,0.0,E14,-18.500,-32.040,36.997,0.658476,216.327
R400_x15,400,15.0,0.0,E15,6.420,-36.440,37.001,0.707283,124.909
R400_x15,400,15.0,0.0,E16,28.340,-23.780,36.995,0.851268,4.796
R400_x15,400,15.0,0.0,E17,58.000,0.000,58.000,1.000000,226.981
R400_x15,400,15.0,0.0,E18,52.990,23.590,58.004,1.000000,171.082
R400_x15,400,15.0,0.0,E19,38.810,43.100,57.999,0.837596,13.991
R400_x15,400,15.0,0.0,E20,17.920,55.160,57.998,0.702292,145.200
R400_x15,400,15.0,0.0,E21,-6.060,57.680,57.997,0.545159,246.353
R400_x15,400,15.0,0.0,E22,-29.000,50.230,58.000,0.466374,2.341
R400_x15,400,15.0,0.0,E23,-46.920,34.090,57.997,0.417151,174.134
R400_x15,400,15.0,0.0,E24,-56.730,12.060,57.998,0.389454,71.939
R400_x15,400,15.0,0.0,E25,-56.730,-12.060,57.998,0.389454,71.939
R400_x15,400,15.0,0.0,E26,-46.920,-34.090,57.997,0.417151,174.134
R400_x15,400,15.0,0.0,E27,-29.000,-50.230,58.000,0.466374,2.341
R400_x15,400,15.0,0.0,E28,-6.060,-57.680,57.997,0.545159,246.353
R400_x15,400,15.0,0.0,E29,17.920,-55.160,57.998,0.702292,145.200
R400_x15,400,15.0,0.0,E30,38.810,-43.100,57.999,0.837596,13.991
R400_x15,400,15.0,0.0,E31,52.990,-23.590,58.004,1.000000,171.082
R500_x-15,500,-15.0,0.0,E00,0.000,0.000,0.000,0.751962,248.746
R500_x-15,500,-15.0,0.0,E01,19.500,0.000,19.500,0.385246,22.121
R500_x-15,500,-15.0,0.0,E02,12.160,15.250,19.505,1.000000,101.165
R500_x-15,500,-15.0,0.0,E03,-4.340,19.010,19.499,0.995549,279.965
R500_x-15,500,-15.0,0.0,E04,-17.570,8.460,19.501,0.881797,64.430
R500_x-15,500,-15.0,0.0,E05,-17.570,-8.460,19.501,0.881797,64.430
R500_x-15,500,-15.0,0.0,E06,-4.340,-19.010,19.499,0.995549,279.965
