z_mm,angle_deg,x_mm,method,pressure_psl_db,audio_proxy_psl_db,pressure_p99_5_db,focus_error_mm,fwhm_x_mm,fwhm_y_mm,target_gain_vs_onaxis200_db,target_amp
200,10,35.265396141692996,rls_amp,-11.04404112035848,-22.08808224071696,-11.972816155586653,2.236067977499783,17.166555072562645,16.575942725833478,-3.8288448007287537,81.88701476755291
200,15,53.589838486224544,phase_only,-7.28216690475394,-14.56433380950788,-8.840906031223344,2.236067977499783,16.07808366524098,14.919193810869421,-2.2580405992383143,98.11948251355308
200,15,53.589838486224544,rls_amp,-10.23411803707106,-20.46823607414212,-11.12636293847759,2.236067977499783,18.036315706455383,16.606881136748353,-5.111390670608209,70.6460274097611
250,0,0.0,phase_only,-11.745428053042943,-23.490856106085886,-12.716006334251915,1.4142135623730951,17.768517270458695,17.7687743711944,-1.2527275019270387,110.1592331263833
250,0,0.0,rls_amp,-12.631771660878144,-25.263543321756288,-13.49016182326372,1.4142135623730951,20.06088989658671,19.992563645343623,-4.106077573296158,79.31464785101066
250,10,44.08174517711625,phase_only,-8.590316878109904,-17.18063375621981,-10.226099721702116,2.23606797749979,18.5390634042353,17.901121250311345,-2.324549739375506,97.37103627921043
250,10,44.08174517711625,rls_amp,-10.482363119383532,-20.964726238767064,-11.82576433805926,2.23606797749979,20.77868384202921,19.86487812859773,-5.177899810744872,70.10714612103835
250,15,66.98729810778067,phase_only,-7.154402221920346,-14.308804443840692,-8.478407910955093,2.23606797749979,19.745914170152936,18.169334283578188,-3.7243111624650957,82.87846920312414
250,15,66.98729810778067,rls_amp,-8.94912877873671,-17.89825755747342,-10.194259777658498,2.23606797749979,21.61826323629665,19.82612184266364,-6.577661233834064,59.67249782625266
300,0,0.0,phase_only,-12.217725938912151,-24.435451877824303,-12.856829295211561,1.4142135623730951,21.173795720367266,21.174115376092814,-2.4500562350483825,95.97419260810553
300,0,0.0,rls_amp,-9.279950509955903,-18.559901019911806,-12.765860882828118,1.4142135623730951,23.292017054688735,23.09578796899111,-5.303406306417269,69.10141867784606
300,10,52.89809421253949,phase_only,-8.709472843133018,-17.418945686266035,-10.004388040732191,2.23606797749979,22.107911937742102,21.360574917535782,-3.5805624216258374,84.26149454466125
300,10,52.89809421253949,rls_amp,-8.318061731231928,-16.636123462463857,-10.641351220110637,2.23606797749979,23.968420379991827,23.462141351508528,-6.4339124929958444,60.668276072152764
300,15,80.3847577293368,phase_only,-7.089234036210494,-14.178468072420989,-8.023946167266645,2.23606797749979,23.365595600380516,21.70561017398431,-5.050667596345832,71.14164435949161
300,15,80.3847577293368,rls_amp,-7.291148006346546,-14.582296012693092,-9.272306173757496,2.23606797749979,25.140805362298252,23.842563331979346,-7.904017667713147,51.221983938841475
350,0,0.0,phase_only,-8.667734150363867,-17.335468300727733,-12.648827140505785,2.1213203435596424,24.314404589760535,24.314793615398223,-3.5510650091440707,84.54813429456814
350,0,0.0,rls_amp,-7.125348304655322,-14.250696609310644,-10.495830602009658,2.1213203435596424,26.378445436744272,26.20640104292812,-6.404415080513608,60.87465669208913
350,10,61.71444324796275,phase_only,-7.386991879533674,-14.773983759067349,-9.635875211272932,2.1213203435596424,25.520782070114194,24.90610958988983,-4.719353150888636,73.90768879887231
350,10,61.71444324796275,rls_amp,-6.157609261170386,-12.315218522340771,-9.651242101491192,2.1213203435596424,27.206436606072067,27.23297413231089,-7.572703222257598,53.21353593518717
350,15,93.78221735089295,phase_only,-6.179791947718002,-12.359583895436003,-7.903915863008679,2.1213203435596424,26.941936613493596,25.529489907349067,-6.2343413739935984,62.078356455251736
350,15,93.78221735089295,rls_amp,-5.216284459364476,-10.432568918728952,-8.425990643970234,2.1213203435596424,28.64212767625537,28.127972698621413,-9.087691445361463,44.69641664778044
400,0,0.0,phase_only,-6.558660893235037,-13.117321786470074,-10.095811792400013,0.0,27.88034129574838,27.880812368033297,-4.554402232132942,75.3246578100227
400,0,0.0,rls_amp,-5.690525719844879,-11.381051439689758,-8.612151240148485,0.0,29.76999643504564,29.594227939316262,-7.4077523035020665,54.23375362321509
400,10,70.53079228338599,phase_only,-5.57291990423089,-11.14583980846178,-9.123177897309668,0.0,29.18108101131348,28.31636209454279,-5.748237379004334,65.65161440427514
400,10,70.53079228338599,rls_amp,-4.8216543558303275,-9.643308711660655,-8.257597395671738,0.0,30.767797948717423,30.46241841801247,-8.601587450372278,47.269162371078856
400,15,107.17967697244909,phase_only,-4.707688116098927,-9.415376232197854,-7.432334124901696,3.0,30.897805898928,28.88890524077381,-7.293399592099014,54.95248032137991
400,15,107.17967697244909,rls_amp,-4.049605608808257,-8.099211217616514,-7.5396996450678,3.0,32.51353330044647,31.387184047223755,-10.146749663465517,39.56578583139493
500,0,0.0,phase_only,-4.08917287085141,-8.17834574170282,-7.8642633485079845,0.0,34.68625872900511,34.68687044457872,-6.306415029619572,61.565374772050944
500,0,0.0,rls_amp,-3.7160816055535006,-7.432163211107001,-7.019467717748757,0.0,36.33021676697847,36.208174036077885,-9.159765100987293,44.327069835876316
500,10,88.1634903542325,phase_only,-3.342687413897014,-6.685374827794028,-7.341021786349375,3.0,36.25031132604806,35.244929181011535,-7.531372575453672,53.46734883366058
500,10,88.1634903542325,rls_amp,-3.0090152924574016,-6.018030584914803,-6.451801229903708,3.0,37.783867974086704,37.20609556944389,-10.384722646820421,38.496491160234925
500,15,133.97459621556135,phase_only,-2.749078418423574,-5.498156836847148,-6.612199502171232,3.0,38.459320913015475,35.97750681409347,-9.113108121768715,44.565817032513195
500,15,133.97459621556135,rls_amp,-2.425299373265923,-4.850598746531846,-5.765093520508648,3.0,40.02383931303969,38.50911544521993,-11.966458193133871,32.08738826340886
700,0,0.0,phase_only,-2.2801906786684247,-4.5603813573368495,-5.923169416162375,4.242640687119285,47.5393028713417,47.54010139428393,-9.064930277828829,44.81369614315412
700,0,0.0,rls_amp,-2.140299586947532,-4.280599173895064,-5.490491083240847,4.242640687119285,49.11327398143066,48.969724935982555,-11.91828034919391,32.265861223070814
700,10,123.4288864959255,phase_only,-1.6890416025500634,-3.378083205100127,-5.112217252505198,4.242640687119285,50.045867278709096,48.73246709432475,-10.317974672208717,38.79346261043867
700,10,123.4288864959255,rls_amp,-1.5676894096147433,-3.1353788192294867,-4.773447150572511,4.242640687119285,51.515743178742454,50.940009452086045,-13.171324743572272,27.931293079515818
700,15,187.5644347017859,phase_only,-1.2612076259099034,-2.522415251819807,-4.734963938514976,4.242640687119285,52.85305818227292,49.976611612152894,-11.932544692963605,32.21291631585443
700,15,187.5644347017859,rls_amp,-1.1380517604571874,-2.2761035209143747,-4.184862328243963,4.242640687119285,54.774790618682914,53.36838397998062,-14.78589476432491,23.19329974741514
1000,0,0.0,phase_only,-1.1487922749049557,-2.2975845498099114,-4.691797828705581,0.0,68.58806751329382,68.58930889515946,-12.075079647144229,31.688617813828568
1000,0,0.0,rls_amp,-1.0945000043283297,-2.1890000086566594,-4.424431763881897,0.0,70.51916202089048,70.35068308777608,-14.928429718505292,22.815804825956576
1000,10,176.326980708465,phase_only,-0.8209769437429555,-1.641953887485911,-4.218549606867791,6.0,71.77106774310238,69.70267197629413,-13.343431419560117,27.383295185572326
1000,10,176.326980708465,rls_amp,-0.7615341880427395,-1.523068376085479,-3.92455608546997,6.0,73.73555253506524,72.5158010469741,-16.196781490919044,19.715972533612085
